X,Y,Z,R,G,B
255.5876525137151,149.39030440365428,400.48196573743496,255,0,0
255.6459968992549,149.30263596608876,400.5490564274825,255,0,0
255.70454305353647,149.2149593575142,400.616142868868,255,0,0
255.76058809069724,149.19787295473805,400.6272500787919,255,0,0
255.8166675379858,149.18078747413415,400.6383543991225,255,0,0
255.86966463299325,149.2402954481958,400.5887328571654,255,0,0
255.92251401167536,149.29980887847313,400.5391153387103,255,0,0
255.97431187709543,149.38030888712655,400.47286708641775,255,0,0
256.02591170462006,149.4608102034277,400.406627235912,255,0,0
256.0799220331989,149.48389164461895,400.38590611762106,255,0,0
256.1338701152564,149.50697920636267,400.3651828433295,255,0,0
256.18337428059993,149.6217642038712,400.2717939270044,255,0,0
256.2325972537297,149.7365689689509,400.1784010204608,255,0,0
256.27472826054094,149.98715317450285,399.9774316149978,255,0,0
256.31625605816345,150.23776134415814,399.7764692218816,255,0,0
255.50528089386407,148.4148004248475,401.1891605264576,255,0,0
255.55624740767772,148.57481881130587,401.0600104964807,255,0,0
255.60682567505847,148.7348593479463,400.9308593375229,255,0,0
255.6587661231973,148.84610499211055,400.8403479929246,255,0,0
255.71043492291005,148.95736025431995,400.7498392023121,255,0,0
255.76392510138524,149.01386257338146,400.702675509496,255,0,0
255.81727437592065,149.07036828760107,400.6555141569992,255,0,0
255.8703706284252,149.129620777294,400.6061861217886,255,0,0
255.92331986497973,149.18888364510087,400.5568562836917,255,0,0
255.97791387891928,149.2064337791475,400.54053627237823,255,0,0
256.03245926132524,149.22398532438007,400.5242154707606,255,0,0
256.0888542150279,149.19968176107884,400.5410095848107,255,0,0
256.14530010703635,149.17537529561025,400.55780315571184,255,0,0
256.1990242324534,149.20919274065352,400.5286188786089,255,0,0
256.2526610295795,149.24302090397555,400.4994304656526,255,0,0
256.3017322465105,149.36625633311945,400.3995356719432,255,0,0
256.350503221918,149.48951248658994,400.2996369673669,255,0,0
256.4154507685166,149.29871639582515,400.4480973598885,255,0,0
256.4808457218049,149.10790279104518,400.596550065228,255,0,0
256.54851047642074,148.883845752063,400.7712696553321,255,0,0
255.2906321833348,147.90395219778787,401.531517222979,255,0,0
255.33701854351557,148.2713465347666,401.2386613906858,255,0,0
255.3825237145529,148.63878179165576,400.9458113133949,255,0,0
255.4399040902688,148.59492514744738,400.97800674186334,255,0,0
255.4973820559668,148.5510729281694,401.0101948488915,255,0,0
255.54928631885943,148.6770830366191,400.9081694505348,255,0,0
255.60088351440425,148.80311087423436,400.8061422540777,255,0,0
255.65313315137055,148.90234333965935,400.7252972472924,255,0,0
255.70513994683293,149.00158868940878,400.6444539140064,255,0,0
255.75888593308665,149.0488846979586,400.6046552314522,255,0,0
255.8125125062917,149.09618935448032,400.5648543000685,255,0,0
255.8662391896646,149.13808362672742,400.52933230995023,255,0,0
255.91985967313545,149.17998323288572,400.4938107622168,255,0,0
255.97444935788693,149.19680766625942,400.4780951910293,255,0,0
256.028992726692,149.21363177543293,400.4623825590298,255,0,0
256.08425912761663,149.21346201344713,400.46008912493113,255,0,0
256.1395187213147,149.213289599147,400.45779813448246,255,0,0
256.19383962702904,149.2326976054821,400.44004944930526,255,0,0
256.24810834343805,149.25210224461824,400.4223058121149,255,0,0
256.2984291218871,149.34941461074862,400.3430660393979,255,0,0
256.3485114476993,149.4467419474187,400.26382484468206,255,0,0
256.4100716755737,149.3203722022228,400.3611510441381,255,0,0
256.4719259162153,149.19399137194742,400.4584742654868,255,0,0
256.5382138371479,148.99196728000828,400.615479339994,255,0,0
256.60497560966127,148.78991938877934,400.7724824406316,255,0,0
255.2014952513044,149.00828285914403,400.5908280384273,255,0,0
255.27953315499312,148.18704084068807,401.2362389844851,255,0,0
255.3225663885104,148.65926639924558,400.8612647285173,255,0,0
255.3644698626135,149.13155100684114,400.48629210144384,255,0,0
255.42430802475,148.98770068556388,400.5973191537981,255,0,0
255.48448207093944,148.8438364886519,400.7083423917044,255,0,0
255.53825270113416,148.90223052509884,400.659849450763,255,0,0
255.5918777812729,148.96063555359655,400.6113553627509,255,0,0
255.6452567972386,149.02186898290088,400.5606357369318,255,0,0
255.6984835354722,149.0831074099568,400.5099194916936,255,0,0
255.7528273891105,149.11099705665023,400.4855032047494,255,0,0
255.80709887912843,149.13888596848903,400.4610883106921,255,0,0
255.86151952524773,149.16129134719105,400.441000656607,255,0,0
255.915879886105,149.18369376531516,400.4209180842332,255,0,0
255.9701231863118,149.20744686176488,400.3997731082925,255,0,0
256.0243031661615,149.23120348227292,400.3786287270792,255,0,0
256.0780115806699,149.2640150525865,400.3503508284197,255,0,0
256.1316355434166,149.29682752651718,400.3220753658844,255,0,0
256.186109396929,149.3099806342599,400.3092942254249,255,0,0
256.24054515128694,149.32314566950842,400.296506990672,255,0,0
256.2914160731238,149.40698108482235,400.2280408970868,255,0,0
256.3420810847163,149.49083317421722,400.1595711616116,255,0,0
