timestamp,x_cm,y_cm,z_cm,roll_deg,pitch_deg,yaw_deg
0.09950494766235352,15.105088,1.9010282,357.81396,-0.015706090255250438,1.4566729173263262,0.005671684177948777
0.15550971031188965,15.120687,1.9070908,357.49796,-2.0583562766102563,-4.127881991426478,-0.016096066808740754
0.2050156593322754,15.105348,1.9052454,357.16895,-1.4050868347634766,-3.6860431502668343,-0.014368206602984015
0.25702905654907227,15.095897,1.9045211,356.89804,-1.1952506850266291,-3.9653950031136533,-0.015460620657151475
0.3075535297393799,15.218558,1.9064382,357.0646,-0.7544400002608863,-4.321581313999526,-0.01685460288458561
0.3585655689239502,14.981697,1.9050015,356.91415,0.4210367078916877,-3.2885270809069898,-0.012815055299458684
0.4100792407989502,15.200025,1.9022026,356.7859,-1.6600561130633975,-3.311306691490751,-0.012904055233603643
0.45908212661743164,15.19976,1.9024588,356.69565,-2.277614102890901,-4.103995093417555,-0.01600243555462082
0.5096006393432617,15.085696,1.9020162,356.68082,-3.173216618748961,-4.394347079535426,-0.017138947987610637
0.5596013069152832,15.098369,1.7903414,356.9921,-2.52638153356224,-4.086787678244691,-0.01593572553099418
0.6111156940460205,15.208115,1.9032174,356.92563,-2.345793092319087,-3.8798071810619943,-0.015125688885064442
0.6621179580688477,15.214389,1.9041375,357.03464,-3.143801461653525,-4.555525315244582,-0.017770260742198805
0.7136454582214355,15.102417,1.9040161,357.10098,-3.0240228692346505,-4.169822642986396,-0.01626034053700737
0.7646572589874268,15.212522,1.9036708,357.04587,-2.29638552273632,-3.7433272522937053,-0.014592013924481877
0.8171632289886475,15.100652,1.9039491,357.06348,-2.6676950371246813,-4.030907857436821,-0.015716714988979277
0.8676812648773193,15.212604,1.9037033,357.027,-3.031029507879822,-4.263607894846658,-0.01662725016546493
0.9186816215515137,15.10605,1.9052182,357.11685,-2.6114834371819495,-4.5493885630591615,-0.017746182604397285
0.9696931838989258,15.216152,1.9048485,357.012,-3.1692512986274206,-5.041984522172616,-0.019677213509359567
1.0206925868988037,15.095642,1.9033995,356.89218,-3.268437356183369,-4.595764806656871,-0.017928093972523273
1.0712058544158936,15.100583,1.9040407,356.9851,-3.575810196856528,-4.862082487491596,-0.01897191558507331
1.121204137802124,14.987905,1.9036783,357.04733,-3.728956249752017,-4.660628005665769,-0.018182427888873996
1.1757164001464844,15.2105,1.9026088,356.97495,-4.113301849719318,-4.457912594013589,-0.017388456715866862
1.2307195663452148,15.102394,1.903849,357.06897,-3.786515801738282,-4.630243532968282,-0.01806331327174476
1.2811591625213623,15.099335,1.9030613,357.01974,-4.219444301332068,-4.595830755407188,-0.017928372196360388
1.3321590423583984,15.103821,1.9039392,357.11343,-3.801788912262296,-4.556980789878721,-0.017776048449427314
1.3836729526519775,14.990745,1.7906979,357.118,-3.3179695858666913,-4.4780698871996725,-0.017466933739882434
1.4336738586425781,15.214203,1.9035338,357.063,-3.761830875840656,-4.502549876901574,-0.017563135292962773
1.4841876029968262,15.102153,1.7902027,357.11307,-3.248052730263218,-4.071501304795451,-0.01587611488261584
1.5341870784759521,15.223121,1.9044341,357.35547,-2.5054276193436973,-3.36606060297434,-0.013118036575421025
1.5847017765045166,15.224614,1.9050905,357.32022,-2.5997139456677036,-3.9022473354758023,-0.015213456285730896
1.6347055435180664,15.2224,1.9047656,357.26733,-2.699781070801435,-3.938737468586862,-0.015356308552222909
1.685218095779419,15.109482,1.9050425,357.25806,-2.9088032755086766,-4.206627452391934,-0.016404530500466644
1.7352163791656494,15.217183,1.9038568,357.1974,-2.4549319533015597,-3.4858899749309518,-0.013585985510687475
1.7867255210876465,15.099874,1.9028577,357.14062,-3.188834995700258,-3.498635779979379,-0.013635820524546897
1.83772611618042,15.10497,1.9033695,357.25638,-3.5051857562933035,-3.6298817811728834,-0.014148673560686156
1.88924241065979,15.217274,1.9033642,357.2378,-2.8644125210018916,-3.331848946434477,-0.012984286669168588
1.9402384757995605,15.106957,1.9039074,357.28198,-3.264419830596788,-3.7109614062452336,-0.014465617161892552
1.9917447566986084,15.10271,1.9030069,357.2335,-3.2153781786084603,-3.320049427054273,-0.012938290385895218
2.041799783706665,15.102833,1.9029366,357.27856,-2.7740280112245825,-2.87991124945022,-0.011219781748270348
2.09226131439209,15.103683,1.9028302,357.33,-2.73089101634462,-2.639690297567693,-0.010282896431300525
2.1432583332061768,15.104301,1.9031153,357.31448,-2.7680858444049545,-2.8693048975662796,-0.01117861982692
2.1947641372680664,15.104657,1.9038944,357.28174,-1.7282339465853567,-2.87175250883952,-0.011188170690023756
2.2448205947875977,15.10207,1.9036459,357.20596,-2.0205138269022265,-3.0451680515013266,-0.011864863332831472
2.2948882579803467,14.987877,1.7896962,357.20352,-2.38605408540527,-3.0760491657727873,-0.011985833050219675
2.3478877544403076,15.100881,1.902572,357.26584,-2.5190459299620334,-2.5595860986151058,-0.009970063052115745
2.3993945121765137,14.989587,1.9025713,357.36325,-2.3671907377501906,-2.2218735404386334,-0.008653308969906943
2.4533984661102295,15.103175,1.9020728,357.39804,-2.9048298597505715,-2.1125921513335815,-0.008227279337822283
2.5049026012420654,15.213353,1.9018613,357.3009,-2.8790762173315225,-2.2932841978665746,-0.008931749216703018
2.5569071769714355,15.0992365,1.9020859,357.25705,-2.6188727810300705,-2.371983708080842,-0.00923842109628659
2.608422040939331,15.099178,1.9017795,357.29422,-2.6353454355852177,-2.0973737217899684,-0.008168103379974655
2.6594278812408447,15.096359,1.9018027,357.2068,-2.210398745505678,-2.1180571092195577,-0.008248634984900673
2.7109313011169434,15.094204,1.9014004,357.1788,-2.128401492628189,-1.9259509420818977,-0.007500194705971112
2.7609314918518066,15.09383,1.9011482,357.18567,-2.295703300736255,-1.863429617837309,-0.007256067860480128
2.811446189880371,15.095726,1.9016408,357.202,-2.2201990801509672,-2.047007321675407,-0.007971455435267907
2.8624496459960938,15.095131,1.9019794,357.14975,-1.979817728293976,-2.2509369242051966,-0.00876626200711762
2.9129574298858643,15.090793,1.9016794,357.00586,-2.102399938874702,-2.5870408096748663,-0.010077128126592389
2.9629595279693604,15.210172,1.9023609,357.16907,-2.0156092568008384,-2.454435647846781,-0.009560468870205924
3.013462543487549,15.096986,1.9020581,357.2312,-1.7352064236630274,-1.9040809305436965,-0.007414677008621873
3.064465045928955,15.209618,1.9019352,357.20016,-2.0321301357976007,-2.12777381575638,-0.008286485731904445
3.114994764328003,15.094457,1.9022423,357.0806,-2.1802100560682276,-2.8135909129705627,-0.010961194486923401
3.170508861541748,15.095927,1.9022993,357.1337,-2.153219520044242,-2.6656271809976935,-0.010383746658481819
3.220508337020874,15.095395,1.9024109,357.1066,-2.029299334524726,-2.7377313349173114,-0.010665280487694972
3.272019147872925,15.2100935,1.902311,357.15244,-2.3177944690509547,-2.6594858959008048,-0.01035969536642482
3.3230175971984863,15.097041,1.9024334,357.1484,-2.241911031655159,-2.6680417325157255,-0.01039312906880836
3.374537944793701,15.20726,1.7883228,357.0962,-2.4789032954511305,-2.605644853856333,-0.010149682571630788
3.4255268573760986,15.094956,1.7884437,357.13425,-2.202121125022278,-2.3779220180232943,-0.009261649471286503
3.478034496307373,15.088554,1.9006857,357.01187,-2.613522816436083,-2.3152049608548704,-0.00901696564536665
3.5310351848602295,15.088092,1.787269,356.9956,-2.581938640312573,-2.316938973519927,-0.009023759554835595
3.5825414657592773,15.085282,1.9007562,356.88745,-2.3683017549100844,-2.581732384467087,-0.010056702177121502
3.633542060852051,15.198995,1.9013023,356.8527,-1.8425896210642134,-2.706728772616919,-0.01054412546178871
3.685061454772949,15.200082,1.9020017,356.81934,-1.9862891466761172,-3.292781987703512,-0.012832020012732257
3.735055923461914,15.087479,1.7882751,356.88986,-1.7560528078923558,-2.735958952704728,-0.010657889541596407
3.7870588302612305,15.088989,1.9018078,356.92563,-1.963257800904582,-2.817035050915028,-0.010974617409490765
3.8370554447174072,15.08874,1.78851,356.88672,-2.0825750081016743,-3.0709683999750665,-0.011965161245513676
3.887057065963745,15.202705,1.9025106,356.86707,-1.8471577286131016,-3.3534184680656542,-0.0130685716074349
3.940530300140381,15.08764,1.9015993,356.89713,-1.9880760243247748,-2.7999300198057027,-0.010907636864320424
3.992530345916748,15.086244,1.9013138,356.8617,-2.231622879503284,-2.8916199096353825,-0.011265603552826476
4.045532464981079,15.086413,1.9015514,356.85596,-2.075610384475404,-3.043131525928892,-0.011856811344780102
4.096529722213745,15.084419,1.9014646,356.78452,-2.120578858226839,-3.241805051484315,-0.012632608663288235
4.1475300788879395,15.084376,1.901152,356.83475,-1.947903132430983,-2.7976106838611954,-0.010898588163668132
4.198529958724976,15.083641,1.9010803,356.8207,-1.8603478132763782,-2.745117660489391,-0.010693798625514502
4.2495317459106445,15.083295,1.9013137,356.78464,-1.7462541413554291,-2.922341694182016,-0.011385545408893527
4.299529790878296,14.967961,1.9014498,356.6935,-1.4744449411536809,-3.083083006440574,-0.012012595369323685
4.35053014755249,15.083359,1.9018182,356.70358,-2.0214756661203714,-3.636489825721739,-0.014174335095478188
4.401530742645264,14.971858,1.7889425,356.70218,-1.8159307125752537,-3.785747163098611,-0.01475817711425142
4.451530694961548,15.08653,1.9026504,356.70682,-2.258143481462628,-4.255279864262173,-0.016594843435040637
4.502530574798584,14.971044,1.9027424,356.5919,-2.2275409700840925,-4.5963769679520246,-0.017930445980040673
4.55253267288208,15.083844,1.9026976,356.56778,-2.636393079853824,-4.946186613995845,-0.01930190542033244
4.603533744812012,15.084199,1.9029756,356.58835,-2.021224699252603,-4.663152412796519,-0.018192581426177322
4.6545305252075195,15.084004,1.9028621,356.59982,-1.7437904196752827,-4.255449120065949,-0.016595442700451504
4.707531213760376,15.19855,1.902554,356.69724,-1.8589942367534702,-3.899782810828107,-0.015203932472006774
